"domain_1"	"domain_2"	"slot_1"	"slot_2"	"value"
"Flights_1"	"Hotels_3"	"origin_airport"	"average_rating"	"n"
"Flights_1"	"Hotels_3"	"origin_airport"	"hotel_name"	"n"
"Flights_1"	"Hotels_3"	"origin_airport"	"street_address"	"n"
"Flights_1"	"Hotels_3"	"origin_airport"	"phone_number"	"n"
"Flights_1"	"Hotels_3"	"origin_airport"	"price"	"n"
"Flights_1"	"Hotels_3"	"origin_airport"	"pets_welcome"	"n"
"Flights_1"	"Hotels_3"	"destination_airport"	"location"	"n"
"Flights_1"	"Hotels_3"	"destination_airport"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_3"	"destination_airport"	"check_in_date"	"n"
"Flights_1"	"Hotels_3"	"destination_airport"	"check_out_date"	"n"
"Flights_1"	"Hotels_3"	"destination_airport"	"average_rating"	"n"
"Flights_1"	"Hotels_3"	"destination_airport"	"hotel_name"	"n"
"Flights_1"	"Hotels_3"	"destination_airport"	"street_address"	"n"
"Flights_1"	"Hotels_3"	"destination_airport"	"phone_number"	"n"
"Flights_1"	"Hotels_3"	"destination_airport"	"price"	"n"
"Flights_1"	"Hotels_3"	"destination_airport"	"pets_welcome"	"n"
"Flights_1"	"Hotels_3"	"departure_date"	"location"	"n"
"Flights_1"	"Hotels_3"	"departure_date"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_3"	"departure_date"	"check_in_date"	"y"
"Flights_1"	"Hotels_3"	"departure_date"	"check_out_date"	"n"
"Flights_1"	"Hotels_3"	"departure_date"	"average_rating"	"n"
"Flights_1"	"Hotels_3"	"departure_date"	"hotel_name"	"n"
"Flights_1"	"Hotels_3"	"departure_date"	"street_address"	"n"
"Flights_1"	"Hotels_3"	"departure_date"	"phone_number"	"n"
"Flights_1"	"Hotels_3"	"departure_date"	"price"	"n"
"Flights_1"	"Hotels_3"	"departure_date"	"pets_welcome"	"n"
"Flights_1"	"Hotels_3"	"return_date"	"location"	"n"
"Flights_1"	"Hotels_3"	"return_date"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_3"	"return_date"	"check_in_date"	"n"
"Flights_1"	"Hotels_3"	"return_date"	"check_out_date"	"y"
"Flights_1"	"Hotels_3"	"return_date"	"average_rating"	"n"
"Flights_1"	"Hotels_3"	"return_date"	"hotel_name"	"n"
"Flights_1"	"Hotels_3"	"return_date"	"street_address"	"n"
"Flights_1"	"Hotels_3"	"return_date"	"phone_number"	"n"
"Flights_1"	"Hotels_3"	"return_date"	"price"	"n"
"Flights_1"	"Hotels_3"	"return_date"	"pets_welcome"	"n"
"Flights_1"	"Hotels_3"	"number_stops"	"location"	"n"
"Flights_1"	"Hotels_3"	"number_stops"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_3"	"number_stops"	"check_in_date"	"n"
"Flights_1"	"Hotels_3"	"number_stops"	"check_out_date"	"n"
"Flights_1"	"Hotels_3"	"number_stops"	"average_rating"	"n"
"Flights_1"	"Hotels_3"	"number_stops"	"hotel_name"	"n"
"Flights_1"	"Hotels_3"	"number_stops"	"street_address"	"n"
"Flights_1"	"Hotels_3"	"number_stops"	"phone_number"	"n"
"Flights_1"	"Hotels_3"	"number_stops"	"price"	"n"
"Flights_1"	"Hotels_3"	"number_stops"	"pets_welcome"	"n"
"Flights_1"	"Hotels_3"	"outbound_departure_time"	"location"	"n"
"Flights_1"	"Hotels_3"	"outbound_departure_time"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_3"	"outbound_departure_time"	"check_in_date"	"n"
"Flights_1"	"Hotels_3"	"outbound_departure_time"	"check_out_date"	"n"
"Flights_1"	"Hotels_3"	"outbound_departure_time"	"average_rating"	"n"
"Flights_1"	"Hotels_3"	"outbound_departure_time"	"hotel_name"	"n"
"Flights_1"	"Hotels_3"	"outbound_departure_time"	"street_address"	"n"
"Flights_1"	"Hotels_3"	"outbound_departure_time"	"phone_number"	"n"
"Flights_1"	"Hotels_3"	"outbound_departure_time"	"price"	"n"
"Flights_1"	"Hotels_3"	"outbound_departure_time"	"pets_welcome"	"n"
"Flights_1"	"Hotels_3"	"outbound_arrival_time"	"location"	"n"
"Flights_1"	"Hotels_3"	"outbound_arrival_time"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_3"	"outbound_arrival_time"	"check_in_date"	"n"
"Flights_1"	"Hotels_3"	"outbound_arrival_time"	"check_out_date"	"n"
"Flights_1"	"Hotels_3"	"outbound_arrival_time"	"average_rating"	"n"
"Flights_1"	"Hotels_3"	"outbound_arrival_time"	"hotel_name"	"n"
"Flights_1"	"Hotels_3"	"outbound_arrival_time"	"street_address"	"n"
"Flights_1"	"Hotels_3"	"outbound_arrival_time"	"phone_number"	"n"
"Flights_1"	"Hotels_3"	"outbound_arrival_time"	"price"	"n"
"Flights_1"	"Hotels_3"	"outbound_arrival_time"	"pets_welcome"	"n"
"Flights_1"	"Hotels_3"	"inbound_arrival_time"	"location"	"n"
"Flights_1"	"Hotels_3"	"inbound_arrival_time"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_3"	"inbound_arrival_time"	"check_in_date"	"n"
"Flights_1"	"Hotels_3"	"inbound_arrival_time"	"check_out_date"	"n"
"Flights_1"	"Hotels_3"	"inbound_arrival_time"	"average_rating"	"n"
"Flights_1"	"Hotels_3"	"inbound_arrival_time"	"hotel_name"	"n"
"Flights_1"	"Hotels_3"	"inbound_arrival_time"	"street_address"	"n"
"Flights_1"	"Hotels_3"	"inbound_arrival_time"	"phone_number"	"n"
"Flights_1"	"Hotels_3"	"inbound_arrival_time"	"price"	"n"
"Flights_1"	"Hotels_3"	"inbound_arrival_time"	"pets_welcome"	"n"
"Flights_1"	"Hotels_3"	"inbound_departure_time"	"location"	"n"
"Flights_1"	"Hotels_3"	"inbound_departure_time"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_3"	"inbound_departure_time"	"check_in_date"	"n"
"Flights_1"	"Hotels_3"	"inbound_departure_time"	"check_out_date"	"n"
"Flights_1"	"Hotels_3"	"inbound_departure_time"	"average_rating"	"n"
"Flights_1"	"Hotels_3"	"inbound_departure_time"	"hotel_name"	"n"
"Flights_1"	"Hotels_3"	"inbound_departure_time"	"street_address"	"n"
"Flights_1"	"Hotels_3"	"inbound_departure_time"	"phone_number"	"n"
"Flights_1"	"Hotels_3"	"inbound_departure_time"	"price"	"n"
"Flights_1"	"Hotels_3"	"inbound_departure_time"	"pets_welcome"	"n"
"Flights_1"	"Hotels_3"	"price"	"location"	"n"
"Flights_1"	"Hotels_3"	"price"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_3"	"price"	"check_in_date"	"n"
"Flights_1"	"Hotels_3"	"price"	"check_out_date"	"n"
"Flights_1"	"Hotels_3"	"price"	"average_rating"	"n"
"Flights_1"	"Hotels_3"	"price"	"hotel_name"	"n"
"Flights_1"	"Hotels_3"	"price"	"street_address"	"n"
"Flights_1"	"Hotels_3"	"price"	"phone_number"	"n"
"Flights_1"	"Hotels_3"	"price"	"price"	"n"
"Flights_1"	"Hotels_3"	"price"	"pets_welcome"	"n"
"Flights_1"	"Hotels_3"	"refundable"	"location"	"n"
"Flights_1"	"Hotels_3"	"refundable"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_3"	"refundable"	"check_in_date"	"n"
"Flights_1"	"Hotels_3"	"refundable"	"check_out_date"	"n"
"Flights_1"	"Hotels_3"	"refundable"	"average_rating"	"n"
"Flights_1"	"Hotels_3"	"refundable"	"hotel_name"	"n"
"Flights_1"	"Hotels_3"	"refundable"	"street_address"	"n"
"Flights_1"	"Hotels_3"	"refundable"	"phone_number"	"n"
"Flights_1"	"Hotels_3"	"refundable"	"price"	"n"
"Flights_1"	"Hotels_3"	"refundable"	"pets_welcome"	"n"
"Flights_1"	"Hotels_3"	"airlines"	"location"	"n"
"Flights_1"	"Hotels_3"	"airlines"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_3"	"airlines"	"check_in_date"	"n"
"Flights_1"	"Hotels_3"	"airlines"	"check_out_date"	"n"
"Flights_1"	"Hotels_3"	"airlines"	"average_rating"	"n"
"Flights_1"	"Hotels_3"	"airlines"	"hotel_name"	"n"
"Flights_1"	"Hotels_3"	"airlines"	"street_address"	"n"
"Flights_1"	"Hotels_3"	"airlines"	"phone_number"	"n"
"Flights_1"	"Hotels_3"	"airlines"	"price"	"n"
"Flights_1"	"Hotels_3"	"airlines"	"pets_welcome"	"n"
"Events_1"	"Hotels_3"	"category"	"location"	"n"
"Events_1"	"Hotels_3"	"category"	"number_of_rooms"	"n"
"Events_1"	"Hotels_3"	"category"	"check_in_date"	"n"
"Events_1"	"Hotels_3"	"category"	"check_out_date"	"n"
"Events_1"	"Hotels_3"	"category"	"average_rating"	"n"
"Events_1"	"Hotels_3"	"category"	"hotel_name"	"n"
"Events_1"	"Hotels_3"	"category"	"street_address"	"n"
"Events_1"	"Hotels_3"	"category"	"phone_number"	"n"
"Events_1"	"Hotels_3"	"category"	"price"	"n"
"Events_1"	"Hotels_3"	"category"	"pets_welcome"	"n"
"Events_1"	"Hotels_3"	"subcategory"	"location"	"n"
"Events_1"	"Hotels_3"	"subcategory"	"number_of_rooms"	"n"
"Events_1"	"Hotels_3"	"subcategory"	"check_in_date"	"n"
"Events_1"	"Hotels_3"	"subcategory"	"check_out_date"	"n"
"Events_1"	"Hotels_3"	"subcategory"	"average_rating"	"n"
"Events_1"	"Hotels_3"	"subcategory"	"hotel_name"	"n"
"Events_1"	"Hotels_3"	"subcategory"	"street_address"	"n"
"Events_1"	"Hotels_3"	"subcategory"	"phone_number"	"n"
"Events_1"	"Hotels_3"	"subcategory"	"price"	"n"
"Events_1"	"Hotels_3"	"subcategory"	"pets_welcome"	"n"
"Events_1"	"Hotels_3"	"event_name"	"location"	"n"
"Events_1"	"Hotels_3"	"event_name"	"number_of_rooms"	"n"
"Events_1"	"Hotels_3"	"event_name"	"check_in_date"	"n"
"Events_1"	"Hotels_3"	"event_name"	"check_out_date"	"n"
"Events_1"	"Hotels_3"	"event_name"	"average_rating"	"n"
"Events_1"	"Hotels_3"	"event_name"	"hotel_name"	"n"
"Events_1"	"Hotels_3"	"event_name"	"street_address"	"n"
"Events_1"	"Hotels_3"	"event_name"	"phone_number"	"n"
"Events_1"	"Hotels_3"	"event_name"	"price"	"n"
"Events_1"	"Hotels_3"	"event_name"	"pets_welcome"	"n"
"Events_1"	"Hotels_3"	"date"	"location"	"n"
"Events_1"	"Hotels_3"	"date"	"number_of_rooms"	"n"
"Events_1"	"Hotels_3"	"date"	"check_in_date"	"y"
"Events_1"	"Hotels_3"	"date"	"check_out_date"	"n"
"Events_1"	"Hotels_3"	"date"	"average_rating"	"n"
"Events_1"	"Hotels_3"	"date"	"hotel_name"	"n"
"Events_1"	"Hotels_3"	"date"	"street_address"	"n"
"Events_1"	"Hotels_3"	"date"	"phone_number"	"n"
"Events_1"	"Hotels_3"	"date"	"price"	"n"
"Events_1"	"Hotels_3"	"date"	"pets_welcome"	"n"
"Events_1"	"Hotels_3"	"time"	"location"	"n"
"Events_1"	"Hotels_3"	"time"	"number_of_rooms"	"n"
"Events_1"	"Hotels_3"	"time"	"check_in_date"	"n"
"Events_1"	"Hotels_3"	"time"	"check_out_date"	"n"
"Events_1"	"Hotels_3"	"time"	"average_rating"	"n"
"Events_1"	"Hotels_3"	"time"	"hotel_name"	"n"
"Events_1"	"Hotels_3"	"time"	"street_address"	"n"
"Events_1"	"Hotels_3"	"time"	"phone_number"	"n"
"Events_1"	"Hotels_3"	"time"	"price"	"n"
"Events_1"	"Hotels_3"	"time"	"pets_welcome"	"n"
"Events_1"	"Hotels_3"	"number_of_seats"	"location"	"n"
"Events_1"	"Hotels_3"	"number_of_seats"	"number_of_rooms"	"n"
"Events_1"	"Hotels_3"	"number_of_seats"	"check_in_date"	"n"
"Events_1"	"Hotels_3"	"number_of_seats"	"check_out_date"	"n"
"Events_1"	"Hotels_3"	"number_of_seats"	"average_rating"	"n"
"Events_1"	"Hotels_3"	"number_of_seats"	"hotel_name"	"n"
"Events_1"	"Hotels_3"	"number_of_seats"	"street_address"	"n"
"Events_1"	"Hotels_3"	"number_of_seats"	"phone_number"	"n"
"Events_1"	"Hotels_3"	"number_of_seats"	"price"	"n"
"Events_1"	"Hotels_3"	"number_of_seats"	"pets_welcome"	"n"
"Events_1"	"Hotels_3"	"city_of_event"	"location"	"y"
"Events_1"	"Hotels_3"	"city_of_event"	"number_of_rooms"	"n"
"Events_1"	"Hotels_3"	"city_of_event"	"check_in_date"	"n"
"Events_1"	"Hotels_3"	"city_of_event"	"check_out_date"	"n"
"Events_1"	"Hotels_3"	"city_of_event"	"average_rating"	"n"
"Events_1"	"Hotels_3"	"city_of_event"	"hotel_name"	"n"
"Events_1"	"Hotels_3"	"city_of_event"	"street_address"	"n"
"Events_1"	"Hotels_3"	"city_of_event"	"phone_number"	"n"
"Events_1"	"Hotels_3"	"city_of_event"	"price"	"n"
"Events_1"	"Hotels_3"	"city_of_event"	"pets_welcome"	"n"
"Events_1"	"Hotels_3"	"event_location"	"location"	"n"
"Events_1"	"Hotels_3"	"event_location"	"number_of_rooms"	"n"
"Events_1"	"Hotels_3"	"event_location"	"check_in_date"	"n"
"Events_1"	"Hotels_3"	"event_location"	"check_out_date"	"n"
"Events_1"	"Hotels_3"	"event_location"	"average_rating"	"n"
"Events_1"	"Hotels_3"	"event_location"	"hotel_name"	"n"
"Events_1"	"Hotels_3"	"event_location"	"street_address"	"n"
"Events_1"	"Hotels_3"	"event_location"	"phone_number"	"n"
"Events_1"	"Hotels_3"	"event_location"	"price"	"n"
"Events_1"	"Hotels_3"	"event_location"	"pets_welcome"	"n"
"Events_1"	"Hotels_3"	"address_of_location"	"location"	"n"
"Events_1"	"Hotels_3"	"address_of_location"	"number_of_rooms"	"n"
"Events_1"	"Hotels_3"	"address_of_location"	"check_in_date"	"n"
"Events_1"	"Hotels_3"	"address_of_location"	"check_out_date"	"n"
"Events_1"	"Hotels_3"	"address_of_location"	"average_rating"	"n"
"Events_1"	"Hotels_3"	"address_of_location"	"hotel_name"	"n"
"Events_1"	"Hotels_3"	"address_of_location"	"street_address"	"n"
"Events_1"	"Hotels_3"	"address_of_location"	"phone_number"	"n"
"Events_1"	"Hotels_3"	"address_of_location"	"price"	"n"
"Events_1"	"Hotels_3"	"address_of_location"	"pets_welcome"	"n"
"Events_2"	"Hotels_3"	"event_type"	"location"	"n"
"Events_2"	"Hotels_3"	"event_type"	"number_of_rooms"	"n"
"Events_2"	"Hotels_3"	"event_type"	"check_in_date"	"n"
"Events_2"	"Hotels_3"	"event_type"	"check_out_date"	"n"
"Events_2"	"Hotels_3"	"event_type"	"average_rating"	"n"
"Events_2"	"Hotels_3"	"event_type"	"hotel_name"	"n"
"Events_2"	"Hotels_3"	"event_type"	"street_address"	"n"
"Events_2"	"Hotels_3"	"event_type"	"phone_number"	"n"
"Events_2"	"Hotels_3"	"event_type"	"price"	"n"
"Events_2"	"Hotels_3"	"event_type"	"pets_welcome"	"n"
"Events_2"	"Hotels_3"	"category"	"location"	"n"
"Events_2"	"Hotels_3"	"category"	"number_of_rooms"	"n"
"Events_2"	"Hotels_3"	"category"	"check_in_date"	"n"
"Events_2"	"Hotels_3"	"category"	"check_out_date"	"n"
"Events_2"	"Hotels_3"	"category"	"average_rating"	"n"
"Events_2"	"Hotels_3"	"category"	"hotel_name"	"n"
"Events_2"	"Hotels_3"	"category"	"street_address"	"n"
"Events_2"	"Hotels_3"	"category"	"phone_number"	"n"
"Events_2"	"Hotels_3"	"category"	"price"	"n"
"Events_2"	"Hotels_3"	"category"	"pets_welcome"	"n"
"Events_2"	"Hotels_3"	"event_name"	"location"	"n"
"Events_2"	"Hotels_3"	"event_name"	"number_of_rooms"	"n"
"Events_2"	"Hotels_3"	"event_name"	"check_in_date"	"n"
"Events_2"	"Hotels_3"	"event_name"	"check_out_date"	"n"
"Events_2"	"Hotels_3"	"event_name"	"average_rating"	"n"
"Events_2"	"Hotels_3"	"event_name"	"hotel_name"	"n"
"Events_2"	"Hotels_3"	"event_name"	"street_address"	"n"
"Events_2"	"Hotels_3"	"event_name"	"phone_number"	"n"
"Events_2"	"Hotels_3"	"event_name"	"price"	"n"
"Events_2"	"Hotels_3"	"event_name"	"pets_welcome"	"n"
"Events_2"	"Hotels_3"	"date"	"location"	"n"
"Events_2"	"Hotels_3"	"date"	"number_of_rooms"	"n"
"Events_2"	"Hotels_3"	"date"	"check_in_date"	"y"
"Events_2"	"Hotels_3"	"date"	"check_out_date"	"n"
"Events_2"	"Hotels_3"	"date"	"average_rating"	"n"
"Events_2"	"Hotels_3"	"date"	"hotel_name"	"n"
"Events_2"	"Hotels_3"	"date"	"street_address"	"n"
"Events_2"	"Hotels_3"	"date"	"phone_number"	"n"
"Events_2"	"Hotels_3"	"date"	"price"	"n"
"Events_2"	"Hotels_3"	"date"	"pets_welcome"	"n"
"Events_2"	"Hotels_3"	"time"	"location"	"n"
"Events_2"	"Hotels_3"	"time"	"number_of_rooms"	"n"
"Events_2"	"Hotels_3"	"time"	"check_in_date"	"n"
"Events_2"	"Hotels_3"	"time"	"check_out_date"	"n"
"Events_2"	"Hotels_3"	"time"	"average_rating"	"n"
"Events_2"	"Hotels_3"	"time"	"hotel_name"	"n"
"Events_2"	"Hotels_3"	"time"	"street_address"	"n"
"Events_2"	"Hotels_3"	"time"	"phone_number"	"n"
"Events_2"	"Hotels_3"	"time"	"price"	"n"
"Events_2"	"Hotels_3"	"time"	"pets_welcome"	"n"
"Events_2"	"Hotels_3"	"number_of_tickets"	"location"	"n"
"Events_2"	"Hotels_3"	"number_of_tickets"	"number_of_rooms"	"n"
"Events_2"	"Hotels_3"	"number_of_tickets"	"check_in_date"	"n"
"Events_2"	"Hotels_3"	"number_of_tickets"	"check_out_date"	"n"
"Events_2"	"Hotels_3"	"number_of_tickets"	"average_rating"	"n"
"Events_2"	"Hotels_3"	"number_of_tickets"	"hotel_name"	"n"
"Events_2"	"Hotels_3"	"number_of_tickets"	"street_address"	"n"
"Events_2"	"Hotels_3"	"number_of_tickets"	"phone_number"	"n"
"Events_2"	"Hotels_3"	"number_of_tickets"	"price"	"n"
"Events_2"	"Hotels_3"	"number_of_tickets"	"pets_welcome"	"n"
"Events_2"	"Hotels_3"	"city"	"location"	"y"
"Events_2"	"Hotels_3"	"city"	"number_of_rooms"	"n"
"Events_2"	"Hotels_3"	"city"	"check_in_date"	"n"
"Events_2"	"Hotels_3"	"city"	"check_out_date"	"n"
"Events_2"	"Hotels_3"	"city"	"average_rating"	"n"
"Events_2"	"Hotels_3"	"city"	"hotel_name"	"n"
"Events_2"	"Hotels_3"	"city"	"street_address"	"n"
"Events_2"	"Hotels_3"	"city"	"phone_number"	"n"
"Events_2"	"Hotels_3"	"city"	"price"	"n"
"Events_2"	"Hotels_3"	"city"	"pets_welcome"	"n"
"Events_2"	"Hotels_3"	"venue"	"location"	"n"
"Events_2"	"Hotels_3"	"venue"	"number_of_rooms"	"n"
"Events_2"	"Hotels_3"	"venue"	"check_in_date"	"n"
"Events_2"	"Hotels_3"	"venue"	"check_out_date"	"n"
"Events_2"	"Hotels_3"	"venue"	"average_rating"	"n"
"Events_2"	"Hotels_3"	"venue"	"hotel_name"	"n"
"Events_2"	"Hotels_3"	"venue"	"street_address"	"n"
"Events_2"	"Hotels_3"	"venue"	"phone_number"	"n"
"Events_2"	"Hotels_3"	"venue"	"price"	"n"
"Events_2"	"Hotels_3"	"venue"	"pets_welcome"	"n"
"Events_2"	"Hotels_3"	"venue_address"	"location"	"n"
"Events_2"	"Hotels_3"	"venue_address"	"number_of_rooms"	"n"
"Events_2"	"Hotels_3"	"venue_address"	"check_in_date"	"n"
"Events_2"	"Hotels_3"	"venue_address"	"check_out_date"	"n"
"Events_2"	"Hotels_3"	"venue_address"	"average_rating"	"n"
"Events_2"	"Hotels_3"	"venue_address"	"hotel_name"	"n"
"Events_2"	"Hotels_3"	"venue_address"	"street_address"	"n"
"Events_2"	"Hotels_3"	"venue_address"	"phone_number"	"n"
"Events_2"	"Hotels_3"	"venue_address"	"price"	"n"
"Events_2"	"Hotels_3"	"venue_address"	"pets_welcome"	"n"
"Flights_1"	"Hotels_1"	"passengers"	"destination"	"n"
"Flights_1"	"Hotels_1"	"passengers"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_1"	"passengers"	"check_in_date"	"n"
"Flights_1"	"Hotels_1"	"passengers"	"number_of_days"	"n"
"Flights_1"	"Hotels_1"	"passengers"	"star_rating"	"n"
"Flights_1"	"Hotels_1"	"passengers"	"hotel_name"	"n"
"Flights_1"	"Hotels_1"	"passengers"	"street_address"	"n"
"Flights_1"	"Hotels_1"	"passengers"	"phone_number"	"n"
"Flights_1"	"Hotels_1"	"passengers"	"price_per_night"	"n"
"Flights_1"	"Hotels_1"	"passengers"	"has_wifi"	"n"
"Flights_1"	"Hotels_1"	"seating_class"	"destination"	"n"
"Flights_1"	"Hotels_1"	"seating_class"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_1"	"seating_class"	"check_in_date"	"n"
"Flights_1"	"Hotels_1"	"seating_class"	"number_of_days"	"n"
"Flights_1"	"Hotels_1"	"seating_class"	"star_rating"	"n"
"Flights_1"	"Hotels_1"	"seating_class"	"hotel_name"	"n"
"Flights_1"	"Hotels_1"	"seating_class"	"street_address"	"n"
"Flights_1"	"Hotels_1"	"seating_class"	"phone_number"	"n"
"Flights_1"	"Hotels_1"	"seating_class"	"price_per_night"	"n"
"Flights_1"	"Hotels_1"	"seating_class"	"has_wifi"	"n"
"Flights_1"	"Hotels_1"	"origin_city"	"destination"	"n"
"Flights_1"	"Hotels_1"	"origin_city"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_1"	"origin_city"	"check_in_date"	"n"
"Flights_1"	"Hotels_1"	"origin_city"	"number_of_days"	"n"
"Flights_1"	"Hotels_1"	"origin_city"	"star_rating"	"n"
"Flights_1"	"Hotels_1"	"origin_city"	"hotel_name"	"n"
"Flights_1"	"Hotels_1"	"origin_city"	"street_address"	"n"
"Flights_1"	"Hotels_1"	"origin_city"	"phone_number"	"n"
"Flights_1"	"Hotels_1"	"origin_city"	"price_per_night"	"n"
"Flights_1"	"Hotels_1"	"origin_city"	"has_wifi"	"n"
"Flights_1"	"Hotels_1"	"destination_city"	"destination"	"y"
"Flights_1"	"Hotels_1"	"destination_city"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_1"	"destination_city"	"check_in_date"	"n"
"Flights_1"	"Hotels_1"	"destination_city"	"number_of_days"	"n"
"Flights_1"	"Hotels_1"	"destination_city"	"star_rating"	"n"
"Flights_1"	"Hotels_1"	"destination_city"	"hotel_name"	"n"
"Flights_1"	"Hotels_1"	"destination_city"	"street_address"	"n"
"Flights_1"	"Hotels_1"	"destination_city"	"phone_number"	"n"
"Flights_1"	"Hotels_1"	"destination_city"	"price_per_night"	"n"
"Flights_1"	"Hotels_1"	"destination_city"	"has_wifi"	"n"
"Flights_1"	"Hotels_1"	"origin_airport"	"destination"	"n"
"Flights_1"	"Hotels_1"	"origin_airport"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_1"	"origin_airport"	"check_in_date"	"n"
"Flights_1"	"Hotels_1"	"origin_airport"	"number_of_days"	"n"
"Flights_1"	"Hotels_1"	"origin_airport"	"star_rating"	"n"
"Flights_1"	"Hotels_1"	"origin_airport"	"hotel_name"	"n"
"Flights_1"	"Hotels_1"	"origin_airport"	"street_address"	"n"
"Flights_1"	"Hotels_1"	"origin_airport"	"phone_number"	"n"
"Flights_1"	"Hotels_1"	"origin_airport"	"price_per_night"	"n"
"Flights_1"	"Hotels_1"	"origin_airport"	"has_wifi"	"n"
"Flights_1"	"Hotels_1"	"destination_airport"	"destination"	"n"
"Flights_1"	"Hotels_1"	"destination_airport"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_1"	"destination_airport"	"check_in_date"	"n"
"Flights_1"	"Hotels_1"	"destination_airport"	"number_of_days"	"n"
"Flights_1"	"Hotels_1"	"destination_airport"	"star_rating"	"n"
"Flights_1"	"Hotels_1"	"destination_airport"	"hotel_name"	"n"
"Flights_1"	"Hotels_1"	"destination_airport"	"street_address"	"n"
"Flights_1"	"Hotels_1"	"destination_airport"	"phone_number"	"n"
"Flights_1"	"Hotels_1"	"destination_airport"	"price_per_night"	"n"
"Flights_1"	"Hotels_1"	"destination_airport"	"has_wifi"	"n"
"Flights_1"	"Hotels_1"	"departure_date"	"destination"	"n"
"Flights_1"	"Hotels_1"	"departure_date"	"number_of_rooms"	"n"
"Flights_1"	"Hotels_1"	"departure_date"	"check_in_date"	"y"
